,Number of votes in total,Number of votings when MEP was present,Presence (%),Particiation (%),Number of 'wrong votes',Share of votes that were 'wrong' (of the votings where the MEP was present),Number of corrected votes in total,Share of votes that were corrected (of the votings where the MEP was present),European political group,Member State
Gilles PARGNEAUX,10049,9552.0,0.9505423425216439,0.9119315354761668,19.0,0.0019891122278056952,19.0,0.0019891122278056952,S&D,France
Helmut SCHOLZ,10049,9557.0,0.9510399044681063,0.9244700965270176,19.0,0.0019880715705765406,23.0,0.0024066129538558123,GUE-NGL,Germany
Georgios KYRTSOS,10049,9088.0,0.9043685938899393,0.760871728530202,18.0,0.0019806338028169014,25.0,0.0027508802816901406,EPP,Greece
Sofia SAKORAFA,10049,9629.0,0.958204796497164,0.8618768036620559,19.0,0.00197320594038841,19.0,0.00197320594038841,GUE-NGL,Greece
Matteo SALVINI,6915,6131.0,0.8866232827187274,0.8202458423716559,12.0,0.00195726635132931,12.0,0.00195726635132931,ENF,Italy
Gerben-Jan GERBRANDY,10049,8226.0,0.8185889143198328,0.7942083789431784,16.0,0.0019450522732798443,16.0,0.0019450522732798443,ALDE/ADLE,Netherlands
Elissavet VOZEMBERG-VRIONIDI,10049,7718.0,0.7680366205592596,0.6352870932431087,15.0,0.0019435086810054417,15.0,0.0019435086810054417,EPP,Greece
Daniel BUDA,10049,9827.0,0.9779082495770723,0.9610906557866454,19.0,0.001933448661850005,20.0,0.0020352091177368472,EPP,Romania
Alojz PETERLE,10049,9381.0,0.9335257239526321,0.8588914319832819,18.0,0.0019187719859290054,18.0,0.0019187719859290054,EPP,Slovenia
Elisabetta GARDINI,10049,9945.0,0.9896507115135834,0.978903373469997,19.0,0.001910507792860734,21.0,0.0021116138763197585,EPP,Italy
Roberto GUALTIERI,10049,9982.0,0.9933326699174048,0.9704448203801374,19.0,0.0019034261671007815,19.0,0.0019034261671007815,S&D,Italy
Michèle RIVASI,10049,9512.0,0.9465618469499453,0.8671509602945566,18.0,0.0018923465096719932,19.0,0.0019974768713204374,Greens/EFA,France
Molly SCOTT CATO,10049,9543.0,0.9496467310180118,0.9392974425315952,18.0,0.001886199308393587,21.0,0.0022005658597925182,Greens/EFA,United Kingdom
Barbara KAPPEL,10049,9567.0,0.9520350283610309,0.9172056921086675,18.0,0.0018814675446848542,18.0,0.0018814675446848542,ENF,Austria
Marco ZULLO,10049,9649.0,0.9601950442830133,0.9174047168872524,18.0,0.0018654782879054825,22.0,0.0022800290185511453,EFDD,Italy
Peter ERIKSSON,3314,3243.0,0.9785757392878697,0.9266747133373566,6.0,0.0018501387604070306,6.0,0.0018501387604070306,Greens/EFA,Sweden
Daniel DALTON  This person became MEP later than the general start of the term.,9767,9231.0,0.9451213269171701,0.9288420190437187,17.0,0.001841620626151013,17.0,0.001841620626151013,ECR,United Kingdom
Rikke-Louise KARLSSON,10049,8699.0,0.8656582744551696,0.7575878196835506,16.0,0.0018392918726290379,17.0,0.0019542476146683528,NI,Denmark
Takis HADJIGEORGIOU,10049,9791.0,0.9743258035625435,0.8961090655786645,18.0,0.0018384230415687877,19.0,0.0019405576549892758,GUE-NGL,Cyprus
Andrey NOVAKOV  This person became MEP later than the general start of the term.,9903,9283.0,0.9373927092800162,0.9184085630616985,17.0,0.0018313045351718194,20.0,0.0021544759237315525,EPP,Bulgaria
Ramon TREMOSA i BALCELLS,10049,9354.0,0.9308388894417355,0.9093442133545626,17.0,0.0018174043190079111,25.0,0.0026726534103057517,ALDE/ADLE,Spain
Christelle LECHEVALIER  This person became MEP later than the general start of the term.,4577,4408.0,0.9630762508193139,0.9195979899497487,8.0,0.0018148820326678765,8.0,0.0018148820326678765,ENF,France
Pavel TELIČKA,10049,10049.0,1.0,0.995521942481839,18.0,0.0017912230072644043,18.0,0.0017912230072644043,ALDE/ADLE,Czech Republic
Vladimír MAŇKA,10049,10049.0,1.0,0.9901482734600457,18.0,0.0017912230072644043,20.0,0.0019902477858493384,S&D,Slovakia
Richard ASHWORTH,10049,9563.0,0.9516369788038611,0.8965071151358344,17.0,0.0017776848269371536,17.0,0.0017776848269371536,EPP,United Kingdom
James NICHOLSON,10049,9567.0,0.9520350283610309,0.8695392576375759,17.0,0.00177694156998014,18.0,0.0018814675446848542,ECR,United Kingdom
Caterina CHINNICI,10049,9572.0,0.9525325903074933,0.9157130062692805,17.0,0.0017760133723359799,19.0,0.0019849561220225656,S&D,Italy
Tamás DEUTSCH,10049,7326.0,0.7290277639566126,0.6355856304109861,13.0,0.0017745017745017745,13.0,0.0017745017745017745,EPP,Hungary
Eleni THEOCHAROUS,10049,7328.0,0.7292267887351975,0.612100706537964,13.0,0.0017740174672489083,14.0,0.001910480349344978,ECR,Cyprus
Peter SIMON,10049,9607.0,0.9560155239327296,0.8929246691213056,17.0,0.0017695430415322162,22.0,0.0022899968772769857,S&D,Germany
Inese VAIDERE  This person became MEP later than the general start of the term.,9909,9047.0,0.9130083762236351,0.8462004238570996,16.0,0.0017685420581408202,20.0,0.0022106775726760254,EPP,Latvia
Eva JOLY,10049,9055.0,0.9010846850432879,0.8333167479351179,16.0,0.00176697956929873,17.0,0.0018774157923799005,Greens/EFA,France
Róża Gräfin von THUN UND HOHENSTEIN,10049,9077.0,0.9032739576077221,0.851228978007762,16.0,0.0017626969262972347,16.0,0.0017626969262972347,EPP,Poland
Michèle ALLIOT-MARIE,10049,9671.0,0.9623843168474475,0.9404915912031048,17.0,0.0017578326956881399,17.0,0.0017578326956881399,EPP,France
Olga SEHNALOVÁ,10049,9811.0,0.9763160513483928,0.9135237337048463,17.0,0.0017327489552543063,17.0,0.0017327489552543063,S&D,Czech Republic
Catherine BEARDER,10049,9239.0,0.9193949646731018,0.893024181510598,16.0,0.001731789154670419,17.0,0.0018400259768373201,ALDE/ADLE,United Kingdom
Christine REVAULT D'ALLONNES BONNEFOY,10049,9838.0,0.9790028858592895,0.9679570106478257,17.0,0.0017279934946127261,18.0,0.001829640170766416,S&D,France
Verónica LOPE FONTAGNÉ,10049,8686.0,0.8643646133943677,0.7449497462434073,15.0,0.001726916877734285,16.0,0.0018420446695832373,EPP,Spain
Artis PABRIKS,8001,7531.0,0.941257342832146,0.8580177477815273,13.0,0.0017261983800292125,13.0,0.0017261983800292125,EPP,Latvia
Diane DODDS,10049,8795.0,0.8752114638272465,0.7859488506319037,15.0,0.0017055144968732233,36.0,0.004093234792495736,NI,United Kingdom
Ernest MARAGALL,4692,4692.0,1.0,0.9861466325660699,8.0,0.0017050298380221654,8.0,0.0017050298380221654,Greens/EFA,Spain
Pilar del CASTILLO VERA,10049,8810.0,0.8767041496666335,0.7990844860185093,15.0,0.00170261066969353,16.0,0.0018161180476730988,EPP,Spain
Jens ROHDE,10049,8835.0,0.8791919593989451,0.7165887152950542,15.0,0.001697792869269949,15.0,0.001697792869269949,ALDE/ADLE,Denmark
Petr JEŽEK,10049,10035.0,0.9986068265499055,0.9971141407105185,17.0,0.0016940707523667164,20.0,0.001993024414549078,ALDE/ADLE,Czech Republic
James CARVER,10049,8900.0,0.8856602647029556,0.8651607125087073,15.0,0.0016853932584269663,16.0,0.0017977528089887641,EFDD,United Kingdom
Rupert MATTHEWS  This person became MEP later than the general start of the term.,4577,4170.0,0.9110771247542058,0.8153812540965698,7.0,0.0016786570743405275,7.0,0.0016786570743405275,ECR,United Kingdom
Emmanouil GLEZOS,1200,1193.0,0.9941666666666666,0.865,2.0,0.0016764459346186086,2.0,0.0016764459346186086,GUE-NGL,Greece
Birgit COLLIN-LANGEN,10049,9627.0,0.9580057717185789,0.8987959000895611,16.0,0.001661992313285551,20.0,0.0020774903916069387,EPP,Germany
Siegfried MUREŞAN,10049,9642.0,0.9594984575579659,0.9188974027266394,16.0,0.0016594067620825555,31.0,0.0032151006015349514,EPP,Romania
Ryszard Antoni LEGUTKO,10049,7242.0,0.7206687232560454,0.6796696188675491,12.0,0.0016570008285004142,16.0,0.0022093344380005524,ECR,Poland
Silvia COSTA,10049,9657.0,0.9609911433973529,0.890038809831824,16.0,0.0016568292430361397,18.0,0.001863932898415657,S&D,Italy
Gianni PITTELLA,6915,6038.0,0.8731742588575561,0.7726681127982646,10.0,0.0016561775422325273,10.0,0.0016561775422325273,S&D,Italy
Monika VANA,10049,9684.0,0.9636779779082496,0.9583043088864563,16.0,0.0016522098306484924,18.0,0.0018587360594795538,Greens/EFA,Austria
Soraya POST,10049,9697.0,0.9649716389690517,0.8740173151557369,16.0,0.0016499948437661133,31.0,0.0031968650097968444,S&D,Sweden
Arnaud DANJEAN,10049,9728.0,0.9680565230371181,0.9315354761667828,16.0,0.001644736842105263,20.0,0.002055921052631579,EPP,France
Seb DANCE,10049,9785.0,0.9737287292267888,0.9648721265797592,16.0,0.0016351558507920285,16.0,0.0016351558507920285,S&D,United Kingdom
Ulrike RODUST,10049,9827.0,0.9779082495770723,0.936710120409991,16.0,0.001628167294189478,24.0,0.0024422509412842168,S&D,Germany
Michael DETJEN  This person became MEP later than the general start of the term.,3694,3691.0,0.9991878722252301,0.9750947482403898,6.0,0.001625575724735844,6.0,0.001625575724735844,S&D,Germany
Santiago FISAS AYXELÀ,10049,8040.0,0.800079609911434,0.7322121604139715,13.0,0.001616915422885572,13.0,0.001616915422885572,EPP,Spain
Gabriel MATO,10049,9287.0,0.9241715593591402,0.885560752313663,15.0,0.0016151609777107785,15.0,0.0016151609777107785,EPP,Spain
Seán KELLY,10049,9966.0,0.9917404716887253,0.9815902079808936,16.0,0.0016054585591009432,16.0,0.0016054585591009432,EPP,Ireland
Albert DESS,10049,10049.0,1.0,0.9928351079709424,16.0,0.0015921982286794705,21.0,0.002089760175141805,EPP,Germany
Pina PICIERNO,10049,7645.0,0.7607722161409095,0.6897203701860881,12.0,0.0015696533682145193,14.0,0.0018312622629169393,S&D,Italy
Tanja FAJON,10049,8951.0,0.8907353965568713,0.8296347895312967,14.0,0.001564071053513574,14.0,0.001564071053513574,S&D,Slovenia
Paul BRANNEN,10049,9595.0,0.95482137526122,0.9213852124589511,15.0,0.001563314226159458,17.0,0.0017717561229807191,S&D,United Kingdom
Cécile Kashetu KYENGE,10049,8966.0,0.8922280823962583,0.8394865160712509,14.0,0.0015614543832255187,17.0,0.0018960517510595582,S&D,Italy
André ELISSEN  This person became MEP later than the general start of the term.,4637,4524.0,0.9756307957731292,0.9601035152037956,7.0,0.0015473032714412025,7.0,0.0015473032714412025,ENF,Netherlands
Nadja HIRSCH  This person became MEP later than the general start of the term.,3978,3888.0,0.9773755656108597,0.8961789844142786,6.0,0.0015432098765432098,7.0,0.001800411522633745,ALDE/ADLE,Germany
Bolesław G. PIECHA,10049,9722.0,0.9674594487013634,0.9528311274753707,15.0,0.0015428924089693479,15.0,0.0015428924089693479,ECR,Poland
José Manuel FERNANDES,10049,9759.0,0.9711414071051846,0.9195939894516867,15.0,0.001537042729787888,15.0,0.001537042729787888,EPP,Portugal
Jeppe KOFOD,10049,9765.0,0.9717384814409394,0.9422828142103692,15.0,0.0015360983102918587,15.0,0.0015360983102918587,S&D,Denmark
Tilly METZ  This person became MEP later than the general start of the term.,2622,2605.0,0.9935163996948894,0.9637681159420289,4.0,0.0015355086372360845,5.0,0.0019193857965451055,Greens/EFA,Luxembourg
Gerard BATTEN,10049,7857.0,0.7818688426709125,0.7206687232560454,12.0,0.0015273004963726614,12.0,0.0015273004963726614,ENF,United Kingdom
Brando BENIFEI,10049,9882.0,0.983381430988158,0.9643745646332968,15.0,0.0015179113539769277,21.0,0.0021250758955676987,S&D,Italy
Maria ARENA,10049,9251.0,0.9205891133446114,0.8908349089461638,14.0,0.0015133499081180413,20.0,0.0021619284401686303,S&D,Belgium
Matthias GROOTE,4313,3965.0,0.9193137027591004,0.8710874101553443,6.0,0.0015132408575031526,6.0,0.0015132408575031526,S&D,Germany
Pál CSÁKY,10049,9920.0,0.9871629017812718,0.9298437655488109,15.0,0.0015120967741935483,15.0,0.0015120967741935483,EPP,Slovakia
Željana ZOVKO  This person became MEP later than the general start of the term.,5967,5306.0,0.889224065694654,0.8485000837942014,8.0,0.0015077271013946476,8.0,0.0015077271013946476,EPP,Croatia
Claudia ȚAPARDEL,10049,9976.0,0.9927355955816499,0.9728331177231565,15.0,0.001503608660785886,16.0,0.0016038492381716118,S&D,Romania
Bogdan Brunon WENTA,8040,8023.0,0.9978855721393035,0.9926616915422886,12.0,0.0014956998628941791,14.0,0.0017449831733765424,EPP,Poland
Isabella DE MONTE,10049,10037.0,0.9988058513284904,0.9952234053139616,15.0,0.001494470459300588,15.0,0.001494470459300588,S&D,Italy
Christel SCHALDEMOSE,10049,10039.0,0.9990048761070753,0.9886555876206587,15.0,0.001494172726367168,15.0,0.001494172726367168,S&D,Denmark
Esther de LANGE,10049,9381.0,0.9335257239526321,0.8896407602746542,14.0,0.0014923782112781154,16.0,0.0017055750986035604,EPP,Netherlands
Danuta JAZŁOWIECKA,10049,9549.0,0.9502438053537665,0.9227783859090457,14.0,0.0014661221070269138,14.0,0.0014661221070269138,EPP,Poland
Agnes JONGERIUS,10049,9599.0,0.9552194248183898,0.9244700965270176,14.0,0.0014584852588811334,17.0,0.001771017814355662,S&D,Netherlands
Deirdre CLUNE,10049,9612.0,0.9565130858791919,0.900686635486118,14.0,0.0014565126924677486,21.0,0.002184769038701623,EPP,Ireland
Emmanuel MAUREL,10049,9629.0,0.958204796497164,0.9151159319335257,14.0,0.0014539412192335654,14.0,0.0014539412192335654,GUE-NGL,France
Daniela AIUTO,10049,9667.0,0.9619862672902776,0.9180017912230073,14.0,0.001448225923244026,14.0,0.001448225923244026,EFDD,Italy
Hannu TAKKULA  This person became MEP later than the general start of the term.,6002,5532.0,0.9216927690769744,0.8932022659113629,8.0,0.0014461315979754157,8.0,0.0014461315979754157,ALDE/ADLE,Finland
Edward CZESAK  This person became MEP later than the general start of the term.,9081,9061.0,0.9977975993833278,0.9941636383658188,13.0,0.0014347202295552368,13.0,0.0014347202295552368,ECR,Poland
Bernd LUCKE,10049,9792.0,0.974425315951836,0.9308388894417355,14.0,0.0014297385620915032,14.0,0.0014297385620915032,ECR,Germany
Esther HERRANZ GARCÍA,10049,8403.0,0.8362026072245995,0.7702258931236939,12.0,0.0014280614066404856,12.0,0.0014280614066404856,EPP,Spain
Angelika NIEBLER,10049,9829.0,0.9781072743556573,0.9320330381132451,14.0,0.0014243564960830196,14.0,0.0014243564960830196,EPP,Germany
Ramón Luis VALCÁRCEL SISO,10049,9898.0,0.9849736292168375,0.9642750522440043,14.0,0.0014144271570014145,40.0,0.00404122044857547,EPP,Spain
Hilde VAUTMANS  This person became MEP later than the general start of the term.,9767,9247.0,0.9467594962629262,0.9338589126650968,13.0,0.0014058613604412242,13.0,0.0014058613604412242,ALDE/ADLE,Belgium
Georgios EPITIDEIOS,10049,9969.0,0.9920390088566027,0.9334262115633396,14.0,0.001404353495837095,14.0,0.001404353495837095,NI,Greece
Bart STAES,10049,9979.0,0.9930341327495273,0.9813911832023087,14.0,0.0014029461869926845,14.0,0.0014029461869926845,Greens/EFA,Belgium
Danilo Oscar LANCINI  This person became MEP later than the general start of the term.,3134,2853.0,0.910338225909381,0.8219527760051053,4.0,0.0014020329477742728,4.0,0.0014020329477742728,ENF,Italy
Stefano MAULLU  This person became MEP later than the general start of the term.,8740,7932.0,0.9075514874141877,0.7701372997711671,11.0,0.0013867876954109935,28.0,0.0035300050428643467,ECR,Italy
Isabella ADINOLFI,10049,9378.0,0.9332271867847547,0.9129266593690915,13.0,0.0013862230752825762,14.0,0.001492855619535082,EFDD,Italy
Elmar BROK,10049,9422.0,0.9376057319136233,0.8130162205194547,13.0,0.0013797495223943962,20.0,0.0021226915729144554,EPP,Germany
Nirj DEVA,10049,7258.0,0.7222609214847249,0.6200616976813613,10.0,0.0013777900248002205,10.0,0.0013777900248002205,ECR,United Kingdom
Ulrike MÜLLER,10049,9484.0,0.9437755000497562,0.9140212956513086,13.0,0.0013707296499367355,13.0,0.0013707296499367355,ALDE/ADLE,Germany
Michael THEURER,5825,5141.0,0.8825751072961373,0.7418025751072962,7.0,0.0013616028010114763,7.0,0.0013616028010114763,ALDE/ADLE,Germany
Ian DUNCAN,5472,5162.0,0.9433479532163743,0.7571271929824561,7.0,0.0013560635412630763,7.0,0.0013560635412630763,ECR,United Kingdom
Neena GILL,10049,9598.0,0.9551199124290974,0.926261319534282,13.0,0.0013544488435090643,19.0,0.0019795790789747863,S&D,United Kingdom
Pilar AYUSO,10049,8882.0,0.8838690416956911,0.8106279231764355,12.0,0.0013510470614726414,12.0,0.0013510470614726414,EPP,Spain
Tim AKER,10049,7443.0,0.7406707135038312,0.7155935914021295,10.0,0.0013435442697836894,10.0,0.0013435442697836894,EFDD,United Kingdom
Renaud MUSELIER,10049,6761.0,0.6728032640063688,0.5912031047865459,9.0,0.0013311640289897944,9.0,0.0013311640289897944,EPP,France
David MARTIN,10049,9884.0,0.9835804557667429,0.9177032540551299,13.0,0.0013152569809793606,15.0,0.001517604208822339,S&D,United Kingdom
Karima DELLI,10049,9885.0,0.9836799681560354,0.9444720867748034,13.0,0.0013151239251390997,13.0,0.0013151239251390997,Greens/EFA,France
Luděk NIEDERMAYER,10049,9894.0,0.9845755796596676,0.9340232858990944,13.0,0.0013139276329088337,13.0,0.0013139276329088337,EPP,Czech Republic
József SZÁJER,10049,9902.0,0.9853716787740073,0.9019802965469201,13.0,0.0013128660876590588,14.0,0.0014138557867097556,EPP,Hungary
Daniel CASPARY,10049,9911.0,0.9862672902776396,0.9402925664245199,13.0,0.001311673897689436,20.0,0.002017959842599132,EPP,Germany
Dennis de JONG,10049,9168.0,0.9123295850333366,0.8729226788735197,12.0,0.0013089005235602095,12.0,0.0013089005235602095,GUE-NGL,Netherlands
Pedro SILVA PEREIRA,10049,9958.0,0.9909443725743855,0.97741068763061,13.0,0.0013054830287206266,19.0,0.0019080136573609158,S&D,Portugal
Herbert DORFMANN,10049,9971.0,0.9922380336351876,0.9802965469200916,13.0,0.001303780964797914,13.0,0.001303780964797914,EPP,Italy
Nikolaos CHOUNTIS  This person became MEP later than the general start of the term.,8549,8441.0,0.987366943502164,0.8913323195695403,11.0,0.0013031631323302925,11.0,0.0013031631323302925,GUE-NGL,Greece
Catherine STIHLER,9003,7693.0,0.8544929467955126,0.7886260135510386,10.0,0.0012998830105290524,10.0,0.0012998830105290524,S&D,United Kingdom
Patrick LE HYARIC,10049,9258.0,0.9212857000696587,0.8403821275748831,12.0,0.0012961762799740765,12.0,0.0012961762799740765,GUE-NGL,France
Daniele VIOTTI,10049,10045.0,0.9996019504428302,0.9581052841078714,13.0,0.001294176207068193,15.0,0.0014932802389248383,S&D,Italy
Laurenţiu REBEGA,10049,8509.0,0.846750920489601,0.7547019603940691,11.0,0.0012927488541544247,11.0,0.0012927488541544247,ECR,Romania
Renato SORU,10049,4662.0,0.46392675888148077,0.34331774305901086,6.0,0.001287001287001287,6.0,0.001287001287001287,S&D,Italy
Luis de GRANDES PASCUAL,10049,9338.0,0.929246691213056,0.8610807045477162,12.0,0.001285071749839366,12.0,0.001285071749839366,EPP,Spain
Tomasz Piotr PORĘBA,10049,9424.0,0.9378047566922082,0.8468504328788934,12.0,0.0012733446519524619,12.0,0.0012733446519524619,ECR,Poland
Eleftherios SYNADINOS,10049,9469.0,0.9422828142103692,0.8865558762065877,12.0,0.001267293272784877,12.0,0.001267293272784877,NI,Greece
Gabrielius LANDSBERGIS,3314,3159.0,0.9532287266143633,0.8786964393482197,4.0,0.0012662234884457107,4.0,0.0012662234884457107,EPP,Lithuania
Anneliese DODDS,5412,3951.0,0.7300443458980045,0.7075018477457502,5.0,0.0012655024044545685,20.0,0.005062009617818274,S&D,United Kingdom
Marcus PRETZELL,10049,8793.0,0.8750124390486615,0.8099313364513882,11.0,0.0012509951097463892,11.0,0.0012509951097463892,ENF,Germany
Jean ARTHUIS,10049,9605.0,0.9558164991541447,0.914120808040601,12.0,0.0012493492972410203,12.0,0.0012493492972410203,ALDE/ADLE,France
Elżbieta Katarzyna ŁUKACIJEWSKA,10049,9621.0,0.9574086973828242,0.9056622549507414,12.0,0.0012472715933894605,12.0,0.0012472715933894605,EPP,Poland
Andrea COZZOLINO,10049,9643.0,0.9595979699472584,0.9088466514081003,12.0,0.0012444260085035777,14.0,0.001451830343254174,S&D,Italy
Paul TANG,10049,9674.0,0.9626828540153249,0.8655587620658772,12.0,0.0012404382881951624,13.0,0.0013438081455447591,S&D,Netherlands
Jonathan ARNOTT,10049,9679.0,0.9631804159617873,0.9529306398646632,12.0,0.001239797499741709,13.0,0.001343113958053518,EFDD,United Kingdom
Werner LANGEN,10049,9705.0,0.9657677380833913,0.9257637575878197,12.0,0.0012364760432766616,12.0,0.0012364760432766616,EPP,Germany
Roger HELMER,5619,4875.0,0.8675920982381207,0.7620573055703862,6.0,0.0012307692307692308,6.0,0.0012307692307692308,EFDD,United Kingdom
Louise BOURS,10049,5725.0,0.5697084286993731,0.4132749527316151,7.0,0.001222707423580786,7.0,0.001222707423580786,EFDD,United Kingdom
Marijana PETIR,10049,9816.0,0.9768136132948552,0.9556174743755598,12.0,0.0012224938875305623,14.0,0.0014262428687856561,EPP,Croatia
Miltiadis KYRKOS,10049,9838.0,0.9790028858592895,0.9243705841377251,12.0,0.0012197601138442774,12.0,0.0012197601138442774,S&D,Greece
Bas EICKHOUT,10049,9046.0,0.9001890735396557,0.8792914717882376,11.0,0.0012160070749502542,13.0,0.001437099270395755,Greens/EFA,Netherlands
Auke ZIJLSTRA  This person became MEP later than the general start of the term.,8549,8244.0,0.9643233126681483,0.955433384021523,10.0,0.0012130033964095099,10.0,0.0012130033964095099,ENF,Netherlands
David COBURN,10049,9074.0,0.9029754204398448,0.867847547019604,11.0,0.001212254793916685,11.0,0.001212254793916685,EFDD,United Kingdom
Yannick JADOT,10049,9137.0,0.9092447009652702,0.8804856204597472,11.0,0.0012038962460326147,11.0,0.0012038962460326147,Greens/EFA,France
Bronis ROPĖ,10049,9972.0,0.9923375460244801,0.9670613991441934,12.0,0.0012033694344163659,13.0,0.0013036502206177295,Greens/EFA,Lithuania
Barbara SPINELLI  This person became MEP later than the general start of the term.  This person ceased to be an MEP before the end of the term.,10049,10014.0,0.9965170663747637,0.988058513284904,12.0,0.0011983223487118035,27.0,0.0026962252846015576,GUE-NGL,Italy
Viorica DĂNCILĂ,6472,5009.0,0.7739493201483313,0.7166254635352287,6.0,0.0011978438810141745,6.0,0.0011978438810141745,S&D,Romania
Cătălin Sorin IVAN,10049,7532.0,0.7495273161508608,0.6700169171061797,9.0,0.0011949017525225705,9.0,0.0011949017525225705,NI,Romania
David BORRELLI,10049,9207.0,0.9162105682157429,0.8716290178127177,11.0,0.0011947431302270011,11.0,0.0011947431302270011,NI,Italy
Nicola CAPUTO,10049,10046.0,0.9997014628321226,0.9811921584237238,12.0,0.0011945052757316346,14.0,0.0013935894883535735,S&D,Italy
Andrej PLENKOVIĆ,4082,3379.0,0.8277804997550221,0.8116119549240568,4.0,0.0011837821840781297,5.0,0.001479727730097662,EPP,Croatia
Mike HOOKEM,10049,7617.0,0.7579858692407204,0.6838491392178326,9.0,0.0011815675462780622,9.0,0.0011815675462780622,NI,United Kingdom
Peter LIESE,10049,9424.0,0.9378047566922082,0.8634690018907354,11.0,0.00116723259762309,11.0,0.00116723259762309,EPP,Germany
Ramona Nicole MĂNESCU,10049,7814.0,0.7775898099313364,0.7253458055527913,9.0,0.001151778858459176,9.0,0.001151778858459176,EPP,Romania
Nathan GILL,10049,8725.0,0.8682455965767738,0.8381928550104488,10.0,0.001146131805157593,10.0,0.001146131805157593,EFDD,United Kingdom
Diane JAMES,10049,8757.0,0.8714299930341327,0.7828639665638372,10.0,0.0011419435879867536,10.0,0.0011419435879867536,EFDD,United Kingdom
Ruža TOMAŠIĆ,10049,9641.0,0.9593989451686735,0.9362125584635287,11.0,0.0011409604812778757,12.0,0.0012446841613940462,ECR,Croatia
Nigel FARAGE,10049,7040.0,0.700567220618967,0.40849835804557666,8.0,0.0011363636363636363,9.0,0.001278409090909091,EFDD,United Kingdom
Dominique RIQUET,10049,9901.0,0.9852721663847149,0.9501442929644741,11.0,0.001110998889001111,12.0,0.001211998788001212,ALDE/ADLE,France
Anna Elżbieta FOTYGA,10049,8168.0,0.8128171957408697,0.7744054134739775,9.0,0.0011018609206660138,9.0,0.0011018609206660138,ECR,Poland
Derek VAUGHAN,10049,9994.0,0.9945268185889143,0.9605930938401831,11.0,0.0011006603962377428,11.0,0.0011006603962377428,S&D,United Kingdom
Dawid Bohdan JACKIEWICZ,2132,1820.0,0.8536585365853658,0.7204502814258912,2.0,0.001098901098901099,2.0,0.001098901098901099,ECR,Poland
Jo LEINEN,10049,9115.0,0.9070554284008359,0.8357050452781372,10.0,0.0010970927043335162,11.0,0.0012068019747668679,S&D,Germany
Wajid KHAN  This person became MEP later than the general start of the term.,4577,4576.0,0.9997815162770374,0.9228752457941883,5.0,0.0010926573426573427,5.0,0.0010926573426573427,S&D,United Kingdom
Mariya GABRIEL,5619,4606.0,0.8197188111763659,0.794091475351486,5.0,0.0010855405992184109,7.0,0.001519756838905775,EPP,Bulgaria
Joëlle BERGERON,10049,9351.0,0.9305403522738581,0.8881480744352672,10.0,0.0010694043417816277,10.0,0.0010694043417816277,EFDD,France
Dietmar KÖSTER,10049,9408.0,0.9362125584635287,0.8729226788735197,10.0,0.0010629251700680273,10.0,0.0010629251700680273,S&D,Germany
Monika HOHLMEIER,10049,9475.0,0.942879888546124,0.8905363717782864,10.0,0.0010554089709762533,11.0,0.0011609498680738787,EPP,Germany
Jude KIRTON-DARLING,10049,8599.0,0.855707035525923,0.8504328788934222,9.0,0.0010466333294569135,9.0,0.0010466333294569135,S&D,United Kingdom
Eduard KUKAN,10049,9582.0,0.9535277142004179,0.9250671708627725,10.0,0.0010436234606553956,10.0,0.0010436234606553956,EPP,Slovakia
Giancarlo SCOTTÀ  This person became MEP later than the general start of the term.,3134,2904.0,0.9266113592852585,0.8698149329929802,3.0,0.0010330578512396695,3.0,0.0010330578512396695,ENF,Italy
Viviane REDING,7584,6792.0,0.8955696202531646,0.8321466244725738,7.0,0.0010306242638398115,8.0,0.001177856301531213,EPP,Luxembourg
David McALLISTER,10049,9706.0,0.9658672504726838,0.8730221912628122,10.0,0.0010302905419328251,11.0,0.0011333195961261075,EPP,Germany
Biljana BORZAN,10049,9746.0,0.9698477460443825,0.9210866752910737,10.0,0.0010260619741432383,10.0,0.0010260619741432383,S&D,Croatia
Mihai ŢURCANU  This person became MEP later than the general start of the term.,9670,8789.0,0.9088934850051706,0.8569803516028955,9.0,0.0010240072818295596,9.0,0.0010240072818295596,EPP,Romania
Bendt BENDTSEN,10049,8846.0,0.8802865956811623,0.7937108169967161,9.0,0.0010174089984173638,10.0,0.0011304544426859599,EPP,Denmark
Julia REDA,10049,9868.0,0.9819882575380635,0.9731316548910339,10.0,0.0010133765707336846,17.0,0.001722740170247264,Greens/EFA,Germany
Esteban GONZÁLEZ PONS,10049,9891.0,0.9842770424917903,0.9618867549009852,10.0,0.0010110201193003741,10.0,0.0010110201193003741,EPP,Spain
Evelyne GEBHARDT,10049,9916.0,0.9867648522241019,0.9628818787939099,10.0,0.001008471157724889,16.0,0.0016135538523598225,S&D,Germany
Traian UNGUREANU,10049,8936.0,0.8892427107174843,0.8611802169370086,9.0,0.0010071620411817369,9.0,0.0010071620411817369,EPP,Romania
Doru-Claudian FRUNZULICĂ,10049,9966.0,0.9917404716887253,0.9423823265996617,10.0,0.0010034115994380895,11.0,0.0011037527593818985,S&D,Romania
Eleonora EVI,10049,9970.0,0.9921385212458951,0.9836799681560354,10.0,0.0010030090270812437,11.0,0.0011033099297893681,EFDD,Italy
